SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7316B7W,10.21.13.84,255.255.255.128,10.21.13.126,172.25.13.84,255.255.255.128,172.25.13.126,A1,,,
6CU7316B82,10.21.13.85,255.255.255.128,10.21.13.126,172.25.13.85,255.255.255.128,172.25.13.126,A1,,,
6CU7316B87,10.21.13.86,255.255.255.128,10.21.13.126,172.25.13.86,255.255.255.128,172.25.13.126,A1,,,
6CU7316B8C,10.21.13.87,255.255.255.128,10.21.13.126,172.25.13.87,255.255.255.128,172.25.13.126,A1,,,
6CU7316B8J,10.21.13.88,255.255.255.128,10.21.13.126,172.25.13.88,255.255.255.128,172.25.13.126,A1,,,
6CU7316B8P,10.21.13.89,255.255.255.128,10.21.13.126,172.25.13.89,255.255.255.128,172.25.13.126,A1,,,
6CU7316B8W,10.21.13.90,255.255.255.128,10.21.13.126,172.25.13.90,255.255.255.128,172.25.13.126,A1,,,
6CU7316B92,10.21.13.91,255.255.255.128,10.21.13.126,172.25.13.91,255.255.255.128,172.25.13.126,A1,,,
6CU7316B97,10.21.13.92,255.255.255.128,10.21.13.126,172.25.13.92,255.255.255.128,172.25.13.126,A1,,,
6CU7316B9C,10.21.13.93,255.255.255.128,10.21.13.126,172.25.13.93,255.255.255.128,172.25.13.126,A1,,,
6CU7316B9J,10.21.13.94,255.255.255.128,10.21.13.126,172.25.13.94,255.255.255.128,172.25.13.126,A1,,,
6CU7316B9P,10.21.13.95,255.255.255.128,10.21.13.126,172.25.13.95,255.255.255.128,172.25.13.126,A1,,,
6CU7316B9W,10.21.13.96,255.255.255.128,10.21.13.126,172.25.13.96,255.255.255.128,172.25.13.126,A1,,,
6CU7316BA2,10.21.14.1,255.255.255.128,10.21.13.126,172.25.14.1,255.255.255.128,172.25.14.126,A1,,,
6CU7316BA7,10.21.14.2,255.255.255.128,10.21.13.126,172.25.14.2,255.255.255.128,172.25.14.126,A1,,,
6CU7316BAC,10.21.14.3,255.255.255.128,10.21.13.126,172.25.14.3,255.255.255.128,172.25.14.126,A1,,,
6CU7316BAJ,10.21.14.4,255.255.255.128,10.21.13.126,172.25.14.4,255.255.255.128,172.25.14.126,A1,,,
6CU7316BAP,10.21.14.5,255.255.255.128,10.21.13.126,172.25.14.5,255.255.255.128,172.25.14.126,A1,,,
6CU7316BAW,10.21.14.6,255.255.255.128,10.21.13.126,172.25.14.6,255.255.255.128,172.25.14.126,A1,,,
6CU7316BB2,10.21.14.7,255.255.255.128,10.21.13.126,172.25.14.7,255.255.255.128,172.25.14.126,A1,,,
6CU7316BB7,10.21.14.8,255.255.255.128,10.21.13.126,172.25.14.8,255.255.255.128,172.25.14.126,A1,,,
6CU7316BBC,10.21.14.9,255.255.255.128,10.21.13.126,172.25.14.9,255.255.255.128,172.25.14.126,A1,,,
6CU7316BBJ,10.21.14.10,255.255.255.128,10.21.13.126,172.25.14.10,255.255.255.128,172.25.14.126,A1,,,
6CU7316BBP,10.21.14.11,255.255.255.128,10.21.13.126,172.25.14.11,255.255.255.128,172.25.14.126,A1,,,
6CU7316BBW,10.21.14.12,255.255.255.128,10.21.13.126,172.25.14.12,255.255.255.128,172.25.14.126,A1,,,
6CU7316BC2,10.21.14.13,255.255.255.128,10.21.13.126,172.25.14.13,255.255.255.128,172.25.14.126,A1,,,
6CU7316BC7,10.21.14.14,255.255.255.128,10.21.13.126,172.25.14.14,255.255.255.128,172.25.14.126,A1,,,
6CU7316BCC,10.21.14.15,255.255.255.128,10.21.13.126,172.25.14.15,255.255.255.128,172.25.14.126,A1,,,
6CU7316BCJ,10.21.14.16,255.255.255.128,10.21.13.126,172.25.14.16,255.255.255.128,172.25.14.126,A1,,,
